site	brand	width	height	first_seen_date	last_seen_date	days_seen	landing_url	src	screenshot_path	ad_score	ad_reason	created_at	notes	updated_at	hidden
ikon.mn	Ikon.mn	1280	720	2025-11-20	2025-11-24	5	https://www.facebook.com/reel/4123467941205726	https://content.ikon.mn/raw/2025/11/11/18439/Sport_app_ikon_banner_1360x200_2.jpg	C:\Scraper\banner_screenshots\ikon_1763962869_1_649361d9.png	0		2025-11-20 05:35:20.175	from_ad_page:https://ikon.mn/ad/IKONMN_A1?1763616287	2025-11-24 05:48:00.891	True
ikon.mn	Ikon.mn	1280	720	2025-11-20	2025-11-20	1		https://content.ikon.mn/raw/2025/11/7/18409/1360x200.jpg	C:\Scraper\banner_screenshots\ikon_1763635541_1_79d16520.png	0		2025-11-20 05:35:20.230	from_ad_page:https://ikon.mn/ad/IKONMN_A2?1763616278	2025-11-20 10:52:16.633	True
ikon.mn	Ikon.mn	1280	720	2025-11-20	2025-11-24	5	https://www.zangia.mn/	https://content.ikon.mn/raw/2025/11/18/18454/HS_Ikom_560x400.jpg	C:\Scraper\banner_screenshots\ikon_1763962886_2_6d7e63d1.png	0		2025-11-20 05:35:20.233	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1763616278	2025-11-24 05:48:00.897	True
ikon.mn	Ikon.mn	1280	720	2025-11-20	2025-11-26	7	https://bit.ly/KB-11-11	https://content.ikon.mn/raw/2025/11/18/18456/560400.jpg	C:\Scraper\banner_screenshots\ikon_1764152521_1_26cd4c0c.png	0		2025-11-20 05:35:20.234	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1763616278	2025-11-26 10:23:58.246	True
lemonpress.mn	Exchange	1180	134	2025-11-20	2025-12-22	31	https://exchange.boost.mn/ad/web/fdfc95aa-90ae-4871-a1b1-0428fdd37f0e	https://exchange.boost.mn/ad/web/fdfc95aa-90ae-4871-a1b1-0428fdd37f0e	banner_screenshots/lemonpress_1766383421_0_f3725195.png	0		2025-11-20 05:35:20.235	iframe	2025-12-22 06:05:35.321	
lemonpress.mn	Exchange	380	134	2025-11-20	2025-12-22	31	https://exchange.boost.mn/ad/web/0b4c7ee7-ef27-4cef-b10a-79eb0f307153	https://exchange.boost.mn/ad/web/0b4c7ee7-ef27-4cef-b10a-79eb0f307153	banner_screenshots/lemonpress_1766383422_1_11f86d75.png	0		2025-11-20 05:35:20.235	iframe	2025-12-22 06:05:35.324	
lemonpress.mn	Exchange	780	125	2025-11-20	2025-12-22	31	https://exchange.boost.mn/ad/web/0538cc0c-08dd-4b5e-8d1c-632ef1c3355d	https://exchange.boost.mn/ad/web/0538cc0c-08dd-4b5e-8d1c-632ef1c3355d	banner_screenshots/lemonpress_1766383422_2_a8f35df3.png	0		2025-11-20 05:35:20.236	iframe	2025-12-22 06:05:35.325	
lemonpress.mn	Exchange	380	264	2025-11-20	2025-12-22	31	https://exchange.boost.mn/ad/web/ab348d23-3f49-4894-a4d5-d3f741b8e361	https://exchange.boost.mn/ad/web/ab348d23-3f49-4894-a4d5-d3f741b8e361	banner_screenshots/lemonpress_1766383422_3_f6335426.png	0		2025-11-20 05:35:20.236	iframe	2025-12-22 06:05:35.327	
lemonpress.mn	Exchange	380	499	2025-11-20	2025-12-22	31	https://exchange.boost.mn/ad/web/625702c6-8bde-4f7f-b3c3-5fc92c5f5f99	https://exchange.boost.mn/ad/web/625702c6-8bde-4f7f-b3c3-5fc92c5f5f99	banner_screenshots/lemonpress_1766383422_4_50b5be95.png	0		2025-11-20 05:35:20.238	iframe	2025-12-22 06:05:35.328	
news.mn	News.mn	970	142	2025-11-20	2025-12-22	31	https://news.mn/#	https://news.mn/wp-content/uploads/2025/10/IMG_6324-scaled.jpeg	banner_screenshots/news_1766383190_6_167ecfe9.png	0		2025-11-20 05:35:20.238	video_poster	2025-12-22 06:05:35.311	
news.mn	News.mn	299	243	2025-11-20	2025-11-26	7	https://bit.ly/tdb-MA2025?fbclid=IwZXh0bgNhZW0CMTAAYnJpZBExZG02Z2xxQUxYR3RSUE5KTAEer-uqbDGwYkFvy8Q08Nj6UxoEgvj2_Q53jpCO5t2osfGSTgbLHZfATIf75-c_aem_xX-j49AXTAqDC-6lnrycwA	https://news.mn/wp-content/uploads/2025/10/News.mn-300x245-1.png	C:\Scraper\banner_screenshots\news_1764152503_20_767f822f.png	0		2025-11-20 05:35:20.238	video_poster	2025-11-26 10:23:58.257	True
news.mn	ХХБ (TDB)	299	244	2025-11-20	2025-11-26	7	https://www.tdbm.mn/mn/news/brittobeleg	https://news.mn/wp-content/uploads/2025/09/britto-News.mn-300x245-1.jpg	C:\Scraper\banner_screenshots\news_1764152504_61_d480f558.png	0		2025-11-20 05:35:20.238	video_poster	2025-11-26 10:23:58.258	True
news.mn	News.mn	299	244	2025-11-20	2025-11-26	7	https://news.mn/#	https://news.mn/wp-content/uploads/2025/11/HS-News.jpg	C:\Scraper\banner_screenshots\news_1764152516_62_09be910d.png	0		2025-11-20 05:35:20.239	video_poster	2025-11-26 10:23:58.260	True
news.mn	News.mn	970	141	2025-11-20	2025-11-26	7	https://www.koreanair.com/	https://news.mn/wp-content/uploads/2025/04/250429_SELCXA-ULNSM-웹-배너_1920x280px.jpg	C:\Scraper\banner_screenshots\news_1764152525_7_5d66d2ef.png	0		2025-11-20 05:35:20.239	video_poster	2025-11-26 10:23:58.261	True
bolor-toli.com	Banner	1600	579	2025-11-20	2025-12-22	31	https://banner.bolor.net/pub/jump?t=8dfb70bbb381ec62e7d15fc7f6b2366c	https://banner.bolor.net/files/37/176291265613.jpg	banner_screenshots/bolortoli_1766383463_0_988754e7.png	0		2025-11-20 05:35:20.239	onpage	2025-12-22 06:05:35.335	
bolor-toli.com	Banner	1600	579	2025-11-20	2025-11-24	5	https://banner.bolor.net/pub/jump?t=d91f9cfe9003d2e218bb1ea8463b72ae	https://banner.bolor.net/files/37/176187722513.png	C:\Scraper\banner_screenshots\bolortoli_1763962964_0_dc08ebf8.png	0		2025-11-20 05:35:20.240	onpage	2025-11-24 05:48:00.917	True
bolor-toli.com	Banner	1600	579	2025-11-20	2025-11-26	7	https://banner.bolor.net/pub/jump?t=09555e1abf5a5da7f753930a420218a5	https://banner.bolor.net/files/37/176352124213.png	C:\Scraper\banner_screenshots\bolortoli_1764152574_1_2f23e314.png	0		2025-11-20 05:35:20.240	onpage	2025-11-26 10:23:58.272	True
gogo.mn	GoGo.mn	1100	483	2025-11-20	2025-11-26	7	https://gogo.mn	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/e7ebab26-af26-443d-b785-3adfc4b81534/691d7c341976241e2989df03_compressed.webp	C:\Scraper\banner_screenshots\gogo_1764152501_26_ef6fd160.png	0		2025-11-20 05:35:20.240	onpage	2025-11-26 10:23:58.274	True
gogo.mn	GoGo.mn	263	270	2025-11-20	2025-12-22	31	https://gogo.mn	https://exchange.boost.mn/ad/web/7dbe8f1f-2042-4ec2-a583-ae72994d07d4?config=eyJvZmZzZXQiOjIsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	banner_screenshots/gogo_1766383098_35_020787f6.png	0		2025-11-20 05:35:20.240	iframe	2025-12-22 06:05:35.316	
gogo.mn	GoGo.mn	690	245	2025-11-20	2025-12-22	31	https://gogo.mn	https://exchange.boost.mn/ad/web/0dd86156-4bad-4edb-b3d3-899fccc948ff?config=eyJvZmZzZXQiOjcsImFzcGVjdFJhdGlvIjoiYXV0byIsImxheW91dCI6ImNhcm91c2VsIiwibG9hZE1vZGUiOiJsYXp5IiwidmVydGljYWxTbGlkZXNUb1Nob3ciOjMsInNob3dJbmRpY2F0b3JEb3RzIjp0cnVlLCJzaG93RHluYW1pY1N0YXRlT25seSI6ZmFsc2UsInZpZXdwb3J0RnJhY3Rpb24iOjEsInNsaWRlU3BhY2luZyI6MCwic2xpZGVJbWdCb3JkZXJSYWRpdXMiOjAsImR5bmFtaWNTdGF0ZUR1cmF0aW9uIjo1LCJsYXp5TG9hZFNwaW5uZXJDb2xvciI6IiMxRDRCOEYiLCJpbmRpY2F0b3JEb3RTaXplIjo4LCJpbmRpY2F0b3JEb3RDb2xvciI6IiMxRDRCOEYiLCJlbmxhcmdlRmFjdG9yIjoxZS0xMCwiZW5sYXJnZUNlbnRlckl0ZW0iOnRydWUsInNob3dWaWRlb0NvbnRyb2xzIjp0cnVlLCJhdXRvc3RhcnQiOnRydWV9	banner_screenshots/gogo_1766383102_141_e2d53d38.png	0		2025-11-20 05:35:20.241	iframe	2025-12-22 06:05:35.317	
bolor-toli.com	Banner	1600	579	2025-11-20	2025-11-24	5	https://banner.bolor.net/pub/jump?t=c047d3b2376c04dd8557f90dd9c9aa0b	https://banner.bolor.net/files/37/176292024913.jpg	C:\Scraper\banner_screenshots\bolortoli_1763954739_0_fa84a932.png	0		2025-11-20 05:48:53.178	onpage	2025-11-24 03:30:37.892	True
bolor-toli.com	Banner	1600	579	2025-11-20	2025-11-26	7	https://banner.bolor.net/pub/jump?t=b81c95dd8b367c381d8c29d6410e742e	https://banner.bolor.net/files/37/176284355413.jpg	C:\Scraper\banner_screenshots\bolortoli_1764152589_0_4488d123.png	0		2025-11-20 05:48:53.179	onpage	2025-11-26 10:23:58.273	True
bolor-toli.com	Banner	1600	579	2025-11-20	2025-11-26	7	https://banner.bolor.net/pub/jump?t=b9619fe07489de6d9a73d897ec39856a	https://banner.bolor.net/files/37/176101706813.jpg	C:\Scraper\banner_screenshots\bolortoli_1764152572_0_cc6f2fd0.png	0		2025-11-20 05:48:53.180	onpage	2025-11-26 10:23:58.272	True
ikon.mn	Ikon.mn	1280	720	2025-11-20	2025-11-26	7	https://bit.ly/KB-11-11	https://content.ikon.mn/raw/2025/11/12/18446/IKON__2___1_.jpg	C:\Scraper\banner_screenshots\ikon_1764152528_2_77abb1bd.png	0		2025-11-20 06:32:39.737	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1763619886	2025-11-26 10:23:58.252	True
ikon.mn	Ikon.mn	1280	720	2025-11-24	2025-11-24	1	https://ticketing.urgoo.mn/movie/HO00001798	https://content.ikon.mn/raw/2025/11/12/18443/Banner560x400.jpg	C:\Scraper\banner_screenshots\ikon_1763962893_1_8943e5e1.png	0		2025-11-24 03:30:37.881	from_ad_page:https://ikon.mn/ad/IKONMN_B2?1763954033	2025-11-24 05:48:00.898	True
ikon.mn	Ikon.mn	1280	720	2025-11-26	2025-11-26	1	https://mlholding.mn/price-offer/	https://content.ikon.mn/raw/2025/11/24/18509/For_More_Information.png	C:\Scraper\banner_screenshots\ikon_1764152508_1_ff50ab9a.png	0		2025-11-26 10:23:58.215	from_ad_page:https://ikon.mn/ad/IKONMN_A1?1764152315	2025-11-26 10:23:58.215	True
caak.mn	Univision	1680	265	2025-11-26	2025-11-26	1	https://univision.mn/promotion/939	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBelk0Qmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0fe9698a69598d03148f7c5fec05453bc3497806/1900x300%20(3).jpg	C:\Scraper\banner_screenshots\caak_1764152550_0_d225befc.png	3	large,external_click	2025-11-26 10:23:58.269	onpage	2025-11-26 10:23:58.269	True
caak.mn	Хаан Банк	422	520	2025-11-26	2025-11-26	1	https://www.khanbank.com/personal/news/intelligence/7820/	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOGNVQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--6b41fbc802df36b903e5e8d2d6694183be0df913/caaak%20(2).jpg	C:\Scraper\banner_screenshots\caak_1764152553_1_823be403.png	3	large,external_click	2025-11-26 10:23:58.269	onpage	2025-11-26 10:23:58.269	True
caak.mn	Caak.mn	422	520	2025-11-26	2025-11-26	1	https://looktv-movie-night-2025.pages.dev/#buy	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNGcxQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1c8fdb03f8a1b33c5bb4a26dbec472ea54846658/420x520%20(1).jpg	C:\Scraper\banner_screenshots\caak_1764152555_2_b964dd1d.png	3	large,external_click	2025-11-26 10:23:58.270	onpage	2025-11-26 10:23:58.270	True
caak.mn	Caak.mn	422	300	2025-11-26	2025-11-26	1	/post/view/43021	https://graph.caak.mn/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMjhhQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--d2b7f6a9c7bd22a23bc5983f355107d5305cf49e/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2QzNKbGMybDZaVWtpRERVd01IZzFNREFHT3daVSIsImV4cCI6bnVsbCwicHVyIjoidmFyaWF0aW9uIn19--0b219c26dacee4763e56c3b3bbf569e95bd63a7e/HM%20aztan%20banner.png	C:\Scraper\banner_screenshots\caak_1764152556_3_d6c500cb.png	5	large,ad_host/path,ad_word	2025-11-26 10:23:58.271	onpage_active_storage	2025-11-26 10:23:58.271	True
ikon.mn	Toki	1280	720	2025-12-15	2025-12-22	6	https://link.toki.mn/4unM	https://content.ikon.mn/raw/2025/12/12/18636/ikon.mn_1360x200.jpg	banner_screenshots/ikon_1766383116_1_ee094e6d.png	0		2025-12-15 09:47:24.387	from_ad_page:https://ikon.mn/ad/IKONMN_A1?1765791435	2025-12-22 06:05:35.294	
ikon.mn	Хаан Банк	1280	720	2025-12-15	2025-12-19	5	https://www.khanbank.com/personal/news/intelligence/7865/	https://content.ikon.mn/raw/2025/12/8/18607/CapitronBank_Swift__560x400.jpg	banner_screenshots/ikon_1766129056_1_180b6ed1.png	0		2025-12-15 09:47:24.392	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1765791435	2025-12-19 07:28:38.752	
ikon.mn	Ikon.mn	1280	720	2025-12-15	2025-12-15	1	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/9/18611/800x400__3_.png	banner_screenshots/ikon_1765791769_2_2b66b92a.png	0		2025-12-15 09:47:24.393	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1765791435	2025-12-15 09:47:24.393	
news.mn	News.mn	970	141	2025-12-15	2025-12-22	6	https://www.koreanair.com/	https://news.mn/wp-content/uploads/2025/09/251205_ULNSM-Winter-Livery_1920x280px-1.jpg	banner_screenshots/news_1766383176_5_1c5efbf5.png	0		2025-12-15 09:47:24.393	video_poster	2025-12-22 06:05:35.302	
news.mn	News.mn	299	244	2025-12-15	2025-12-22	6	https://news.mn/r/2837349/	https://news.mn/wp-content/uploads/2025/12/HS-News.jpg	banner_screenshots/news_1766383179_22_b35122f0.png	0		2025-12-15 09:47:24.394	video_poster	2025-12-22 06:05:35.305	
news.mn	Голомт Банк	299	299	2025-12-15	2025-12-22	6	https://www.golomtbank.com/news/50915	https://news.mn/wp-content/uploads/2025/11/300.jpg	banner_screenshots/news_1766383180_64_63744233.png	0		2025-12-15 09:47:24.396	video_poster	2025-12-22 06:05:35.309	
news.mn	News.mn	1170	444	2025-12-15	2025-12-22	6	https://www.facebook.com/share/1G9ab3CN6y/?mibextid=wwXIfr	https://news.mn/wp-content/uploads/2025/11/MN-new-year-cover.jpg	banner_screenshots/news_1766383181_69_ccf95ae7.png	0		2025-12-15 09:47:24.397	video_poster	2025-12-22 06:05:35.310	
news.mn	Хаан Банк	299	249	2025-12-15	2025-12-22	6	https://www.khanbank.com/personal/news/intelligence/7865/	https://news.mn/wp-content/uploads/2025/12/41851f63-b11f-4d25-96d9-2247e91d21ca-600x500.jpeg	banner_screenshots/news_1766383192_23_5099a424.png	0		2025-12-15 09:47:24.398	video_poster	2025-12-22 06:05:35.313	
gogo.mn	GoGo.mn	1100	483	2025-12-15	2025-12-15	1	https://gogo.mn	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/051b40ca-59e4-459a-889d-b207085c25aa/69329d2b518d92c5c433e87c_compressed.webp	banner_screenshots/gogo_1765791721_26_e5a1225e.png	0		2025-12-15 09:47:24.398	onpage	2025-12-15 09:47:24.398	
caak.mn	Голомт Банк	1680	265	2025-12-15	2025-12-22	6	https://www.golomtbank.com/news/48459	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBelJNQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--bb7a2ab4f87a0ac0b98303fe2fc3344b7f9fbbc7/1900%20300%20caak,%20caaknews.png	banner_screenshots/caak_1766383422_0_e8a3ee95.png	3	large,external_click	2025-12-15 09:47:24.401	onpage	2025-12-22 06:05:35.329	
caak.mn	Хаан Банк	422	520	2025-12-15	2025-12-22	6	https://www.khanbank.com/personal/news/intelligence/7865/	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM2xNQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--fe99d669477430d4b836c96062175d38498ec796/3_Caak.jpg	banner_screenshots/caak_1766376360_1_1dc68725.png	3	large,external_click	2025-12-15 09:47:24.401	onpage	2025-12-22 04:07:29.011	
bolor-toli.com	Banner	1600	579	2025-12-15	2025-12-22	6	https://banner.bolor.net/pub/jump?t=2d539c1373f1105bc16c2b0359999c3b	https://banner.bolor.net/files/39/176483362313.jpg	banner_screenshots/bolortoli_1766383497_0_bd18a737.png	0		2025-12-15 09:47:24.402	onpage	2025-12-22 06:05:35.338	
bolor-toli.com	Banner	1600	579	2025-12-15	2025-12-22	6	https://banner.bolor.net/pub/jump?t=fa6b603fdc12da973ab25f1bd9ddee5f	https://banner.bolor.net/files/39/176550753013.png	banner_screenshots/bolortoli_1766383455_0_5a32e6f1.png	0		2025-12-15 09:47:24.402	onpage	2025-12-22 06:05:35.334	
bolor-toli.com	Banner	1600	579	2025-12-15	2025-12-22	6	https://banner.bolor.net/pub/jump?t=379749266bd372848d7ab4bc882c9c77	https://banner.bolor.net/files/39/176553407913.png	banner_screenshots/bolortoli_1766383472_0_e48d3301.png	0		2025-12-15 09:47:24.402	onpage	2025-12-22 06:05:35.337	
ikon.mn	Toki	1280	720	2025-12-19	2025-12-22	2	https://link.toki.mn/4unM	https://content.ikon.mn/raw/2025/12/16/18653/Mbank_ApplePay_Digitalplacement_2_2.png	banner_screenshots/ikon_1766383126_2_07def81d.png	0		2025-12-19 06:58:51.489	from_ad_page:https://ikon.mn/ad/IKONMN_A1?1766126615	2025-12-22 06:05:35.296	
ikon.mn	Ikon.mn	1280	720	2025-12-19	2025-12-22	2	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/16/18654/Mbank_ApplePay_Digitalplacement_1_2.png	banner_screenshots/ikon_1766378932_1_b76fdb5d.png	0		2025-12-19 06:58:51.516	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1766126614	2025-12-22 04:53:18.641	
ikon.mn	Ikon.mn	1280	720	2025-12-19	2025-12-22	2	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/3/18592/560.jpg	banner_screenshots/ikon_1766383148_2_f6fa2762.png	0		2025-12-19 06:58:51.517	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1766126614	2025-12-22 06:05:35.299	
gogo.mn	GoGo.mn	1100	483	2025-12-19	2025-12-22	2	https://gogo.mn	https://edge.boost.mn/67e3d390bbe407d318e482f1/creative_converted/e6cdc94f-052a-4452-90cb-630f7f91cd5c/694097ae0e4e7f67435bb357_compressed.webp	banner_screenshots/gogo_1766383097_26_2a184300.png	0		2025-12-19 06:58:51.519	onpage	2025-12-22 06:05:35.314	
caak.mn	Хаан Банк	422	520	2025-12-19	2025-12-22	2	https://www.khanbank.com/personal/news/intelligence/7854/	https://graph.caak.mn/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHRJQmc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e69075327c021f8651b7cc8515edc4812b5bf1d0/Khan%20New%20year%20A2.jpg	banner_screenshots/caak_1766383425_1_56acdb22.png	3	large,external_click	2025-12-19 06:58:51.522	onpage	2025-12-22 06:05:35.330	
bolor-toli.com	Banner	1600	579	2025-12-19	2025-12-22	2	https://banner.bolor.net/pub/jump?t=81a2c5d757c19a6a17bd19e8d49fbba5	https://banner.bolor.net/files/37/176612259913.jpg	banner_screenshots/bolortoli_1766383446_0_f334782e.png	0		2025-12-19 06:58:51.523	onpage	2025-12-22 06:05:35.332	
ikon.mn	Ikon.mn	1280	720	2025-12-22	2025-12-22	1	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/8/18596/1_Ikon.jpg	banner_screenshots/ikon_1766377899_2_1225693d.png	0		2025-12-22 04:07:28.928	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1766375609	2025-12-22 04:37:50.364	
ikon.mn	Ikon.mn	1280	720	2025-12-22	2025-12-22	1	https://gwa.zangia.mn/2025.html?v1.2	https://content.ikon.mn/raw/2025/12/1/18568/560x400..png	banner_screenshots/ikon_1766383137_1_7f1ee0a6.png	0		2025-12-22 04:53:18.642	from_ad_page:https://ikon.mn/ad/IKONMN_B1?1766378743	2025-12-22 06:05:35.298	
